n,exito,txid,bloque,t_envio_s,t_confirmacion_s,fee_lovelace,id_registro,timestamp,error,franja
1,True,191b4ff521d9c52b20158a580f281d123a279efeda966b0eb25e78cd4f51fb47,13686821,0.709,16.389,174917,LCD-D73B846D0A90,2026-07-16T18:58:38+00:00,,tarde
2,True,ce39381098838af08a184127116a58d0f58f83d7922b3013da0401fd0b750861,13686822,0.627,16.289,174917,LCD-5755A2F2CA77,2026-07-16T18:59:55+00:00,,tarde
3,True,0c8ad7ceb8fa09312125204e1be604c4b4ec4b0c3ef9e94b392db2448cace0e7,13686825,0.726,11.289,174917,LCD-9282FA22301E,2026-07-16T19:01:12+00:00,,tarde
4,True,88c4805220465cef5f578489cb8d70029ae89680c18627d5bc2cd9e46b5cb77d,13686828,0.753,16.459,174917,LCD-C7DFDAE3489C,2026-07-16T19:02:23+00:00,,tarde
5,True,80e26b62cac4b989f6d850df50b8553cda05349bd8a62816b050a30d2d5cfcb2,13686833,0.828,16.57,174917,LCD-92548780778F,2026-07-16T19:03:39+00:00,,tarde
6,True,0f3bc4439869a02a3677ed2ae9b5861013aad4cf6a6371306606da80a1fa12b4,13686840,0.573,11.026,174917,LCD-230730DAC72C,2026-07-16T19:04:56+00:00,,tarde
7,True,874169284b895864bf892a13b76c7517aa69a4baa6e3bb578dd5a1aeb7a9387e,13686844,0.535,52.462,174917,LCD-D37E1C5E7FB0,2026-07-16T19:06:07+00:00,,tarde
8,True,76bd2e78d282af50331937e2d6030a3f08c6ce99c2a8af80d5c409392b59122f,13686850,0.737,47.278,174917,LCD-7B4482D33E9D,2026-07-16T19:07:59+00:00,,tarde
9,True,a5b6125e5c0b17c33d031879ff963c0cf7619539c989ad49240947605dbcbd57,13686856,0.604,10.984,174917,LCD-03CF3A037742,2026-07-16T19:09:47+00:00,,tarde
10,True,f5a20c723e9a9a20c5b7588c4be3918862d727f84806d8b052d017cd0addd174,13686861,0.47,36.641,174917,LCD-E2186613012E,2026-07-16T19:10:58+00:00,,tarde
1,True,d91baa8611e0b355ac13d4582938808de1e2b7ae7ad81b8948d1c1dac9671bfa,13687723,0.867,26.841,174917,LCD-A7D86D2F2EB0,2026-07-17T00:06:17+00:00,,noche
2,True,bd410eea42b30218ffb69c5733a75bdd0316c5cfe9e8109a359c6852db4f2a4f,13687729,0.569,57.411,174917,LCD-698EBF3AABC3,2026-07-17T00:07:45+00:00,,noche
3,True,da23693e98734133b535a163abb03183a579809bd0082db56b40bb23019e0233,13687733,0.598,26.49,174917,LCD-A86453F72813,2026-07-17T00:09:43+00:00,,noche
4,True,993804c1cb1639e5d7a209485ec02a740b86cc9d07a6fcdc2fee38de94c431fa,13687736,0.595,16.33,174917,LCD-2320E7C2C3C5,2026-07-17T00:11:09+00:00,,noche
5,True,d8250baa5701f3a5822e01abe825209ae1a04f5498810ed7d303c18a0c92d97b,13687741,0.469,67.597,174917,LCD-2FD6B5D96F5E,2026-07-17T00:12:26+00:00,,noche
6,True,c2f5511ee2c97a1b8ea20aaeb3859fca463c6fd94f65d4fc5db75b5e2f7f88f1,13687745,0.572,103.883,174917,LCD-6FB2B356113B,2026-07-17T00:14:33+00:00,,noche
7,True,ca8d73eb62fd4ca875cc786e7fe3198ffd0d291f73e051b3e6967e056efee5e4,13687747,0.472,41.936,174917,LCD-32312EFBDF12,2026-07-17T00:17:17+00:00,,noche
8,True,ff9d5d7abaecb229eb0f4c9a43b3225cdcdcd5038254e37c986d79194e4aaee7,13687752,0.672,26.806,174917,LCD-9998D7067B41,2026-07-17T00:18:59+00:00,,noche
9,True,078c21064b1cbbeb35f09d10b3f1848a132b76a8fc67e37bfd5f05e19ed5e0e9,13687756,0.484,16.051,174917,LCD-16D5477DEA85,2026-07-17T00:20:26+00:00,,noche
10,True,381469cc086365521923b9a6047ce3e1abf4865f25f8123631132a019283dab4,13687760,0.692,67.997,174917,LCD-A1CBB9F6CF4E,2026-07-17T00:21:42+00:00,,noche
1,True,36e1e8f35ea12e4d237d878bf4fcf9f8709714edc041807115121f42ea13b356,13688882,0.682,47.287,174917,LCD-B25C41529409,2026-07-17T06:36:34+00:00,,manana
2,True,34c089bf86b09b5dc13f15e690455e36507126a056ba23d38f1da36b26740fec,13688885,0.505,10.964,174917,LCD-DAF032B1809E,2026-07-17T06:38:23+00:00,,manana
3,True,a8fc6e6eaabe7dc9121b2449722ab37e5326e6167bc07adf696696e8eeeff5fe,13688891,0.507,42.177,174917,LCD-C85C539548F7,2026-07-17T06:39:34+00:00,,manana
4,True,f76f13d52d48e1347a51f18f9caa41efa5d68bb5bef1c4bdd4893a364f395654,13688897,0.515,11.045,176501,LCD-8457DC52784B,2026-07-17T06:41:16+00:00,,manana
5,True,251fc121698a51624152f9892251005b4cf782dfdf5a9cdb39614c617d6589bd,13688900,0.601,52.459,176501,LCD-B86780DC9766,2026-07-17T06:42:28+00:00,,manana
6,True,44f0e539aaf44b661319dde43d8b7de33b574467ea22bdf58fa4830387de76df,13688904,0.435,31.621,176501,LCD-07D9AEDFBEB1,2026-07-17T06:44:20+00:00,,manana
7,True,7448037b4cf643ec03a21be62ba85fee79740cc8bdb9e4358e37e9cdf1f9949e,13688906,0.599,31.628,176501,LCD-750156F368C5,2026-07-17T06:45:52+00:00,,manana
8,True,d543898c693685df4d535091e9249a73acb323b3371a4c8966693d7511279c02,13688910,0.376,10.995,178085,LCD-8D3423003F0D,2026-07-17T06:47:23+00:00,,manana
9,True,c2a6bf27c15c333acffbe218e297bc187cea77c2406c265562fd48142df65c02,13688913,0.409,10.864,176501,LCD-6C0B090EBE72,2026-07-17T06:48:34+00:00,,manana
10,True,2cddd3220f7ba67c22709a64b8e50da7aa8bee892fcc01de721601fb71ca8f4f,13688916,0.464,26.399,176501,LCD-1540A5B88017,2026-07-17T06:49:45+00:00,,manana
